"trial","deck","subjID","gain","loss"
46,1,"319",90,0
47,2,"319",130,-1500
48,1,"319",100,-250
49,4,"319",55,0
50,4,"319",40,0
51,2,"319",120,0
52,2,"319",130,0
53,1,"319",120,-200
54,3,"319",55,0
55,3,"319",55,-25
56,4,"319",60,0
57,1,"319",110,0
58,2,"319",110,0
59,2,"319",90,0
60,3,"319",65,-75
61,1,"319",90,-300
62,2,"319",100,0
63,1,"319",130,-150
64,3,"319",45,0
65,3,"319",70,-25
66,4,"319",40,0
67,2,"319",120,0
68,4,"319",45,0
69,3,"319",40,0
70,2,"319",120,-1750
71,4,"319",55,0
72,2,"319",110,0
73,3,"319",50,-25
74,4,"319",65,0
75,4,"319",70,0
76,2,"319",140,0
77,3,"319",60,-75
78,2,"319",130,0
79,4,"319",50,0
80,4,"319",70,-275
81,2,"319",100,0
82,3,"319",70,0
83,1,"319",120,-250
84,2,"319",110,0
85,2,"319",120,0
86,3,"319",40,-50
87,2,"319",120,0
88,4,"319",60,0
89,4,"319",55,0
90,2,"319",140,0
91,2,"319",110,0
92,4,"319",65,0
93,4,"319",80,0
94,2,"319",130,0
95,2,"319",140,-2000
96,1,"319",100,0
97,2,"319",120,0
98,2,"319",110,0
99,3,"319",60,0
100,2,"319",130,0
1,1,"320",100,0
2,1,"320",120,0
3,1,"320",80,-150
4,2,"320",100,0
5,2,"320",80,0
6,3,"320",50,0
7,3,"320",60,0
8,4,"320",50,0
9,4,"320",40,0
10,1,"320",90,0
11,2,"320",110,0
12,2,"320",120,0
13,3,"320",40,-50
14,1,"320",110,-300
15,2,"320",90,0
16,3,"320",55,0
17,4,"320",45,0
18,3,"320",55,-50
19,4,"320",45,0
20,1,"320",100,0
21,1,"320",80,-200
22,2,"320",100,0
23,3,"320",45,0
24,4,"320",55,0
25,1,"320",120,0
26,2,"320",90,0
27,3,"320",50,-50
28,1,"320",110,-250
29,2,"320",120,0
30,2,"320",110,-1250
31,3,"320",45,0
32,4,"320",60,0
33,4,"320",40,0
34,1,"320",90,-350
35,2,"320",80,0
36,4,"320",55,0
37,3,"320",60,-50
38,3,"320",40,-50
39,2,"320",110,0
40,1,"320",110,0
41,2,"320",100,0
42,3,"320",55,0
43,4,"320",50,0
44,1,"320",130,-350
45,2,"320",90,0
46,4,"320",60,-250
47,2,"320",130,-1500
48,3,"320",55,-25
49,3,"320",65,-75
50,1,"320",90,0
51,4,"320",55,0
52,4,"320",40,0
53,2,"320",120,0
54,3,"320",45,0
55,1,"320",100,-250
56,2,"320",130,0
57,3,"320",70,-25
58,4,"320",60,0
59,1,"320",120,-200
60,1,"320",110,0
61,2,"320",110,0
62,2,"320",90,0
63,4,"320",40,0
64,3,"320",40,0
65,2,"320",100,0
66,4,"320",45,0
67,1,"320",90,-300
68,1,"320",130,-150
69,2,"320",120,0
70,2,"320",120,-1750
71,2,"320",110,0
72,2,"320",140,0
73,2,"320",130,0
74,3,"320",50,-25
75,3,"320",60,-75
76,3,"320",70,0
77,4,"320",55,0
78,4,"320",65,0
79,4,"320",70,0
80,1,"320",120,-250
81,3,"320",40,-50
82,4,"320",50,0
83,4,"320",70,-275
84,1,"320",100,0
85,3,"320",60,0
86,1,"320",120,-250
87,2,"320",100,0
88,4,"320",60,0
89,4,"320",55,0
90,3,"320",65,-25
91,3,"320",55,0
92,4,"320",65,0
93,3,"320",80,-50
94,1,"320",140,-300
95,2,"320",110,0
96,2,"320",120,0
97,2,"320",120,0
98,4,"320",80,0
99,4,"320",40,0
100,4,"320",80,0
1,3,"321",50,0
2,4,"321",50,0
3,1,"321",100,0
4,2,"321",100,0
5,4,"321",40,0
6,1,"321",120,0
7,3,"321",60,0
8,4,"321",45,0
9,1,"321",80,-150
10,2,"321",80,0
11,3,"321",40,-50
12,4,"321",45,0
13,2,"321",110,0
14,4,"321",55,0
15,2,"321",120,0
16,4,"321",60,0
17,2,"321",90,0
18,4,"321",40,0
19,2,"321",100,0
20,4,"321",55,0
21,2,"321",90,0
22,4,"321",50,0
23,2,"321",120,0
24,4,"321",60,-250
25,2,"321",110,-1250
26,3,"321",55,0
27,1,"321",90,0
28,3,"321",55,-50
29,1,"321",110,-300
30,4,"321",55,0
31,2,"321",80,0
32,3,"321",45,0
33,1,"321",100,0
34,4,"321",40,0
35,2,"321",110,0
36,3,"321",50,-50
37,1,"321",80,-200
38,4,"321",60,0
39,3,"321",45,0
40,2,"321",100,0
41,4,"321",40,0
42,3,"321",60,-50
43,1,"321",120,0
44,2,"321",90,0
45,4,"321",45,0
46,1,"321",110,-250
47,3,"321",40,-50
48,2,"321",130,-1500
49,4,"321",55,0
50,2,"321",120,0
51,3,"321",55,0
52,1,"321",90,-350
53,4,"321",65,0
54,3,"321",55,-25
55,2,"321",130,0
56,4,"321",70,0
57,2,"321",110,0
58,2,"321",90,0
59,4,"321",50,0
60,1,"321",110,0
61,3,"321",65,-75
62,1,"321",130,-350
63,2,"321",100,0
64,4,"321",70,-275
65,3,"321",45,0
66,3,"321",70,-25
67,2,"321",120,0
68,4,"321",60,0
69,2,"321",120,-1750
70,1,"321",90,0
71,1,"321",100,-250
72,4,"321",55,0
73,2,"321",110,0
74,3,"321",40,0
75,4,"321",65,0
76,2,"321",140,0
77,1,"321",120,-200
78,4,"321",80,0
79,3,"321",50,-25
80,2,"321",130,0
81,4,"321",40,0
82,2,"321",100,0
83,2,"321",110,0
84,4,"321",80,0
85,2,"321",120,0
86,2,"321",120,0
87,2,"321",140,0
88,2,"321",110,0
89,2,"321",130,0
90,2,"321",140,-2000
91,4,"321",40,0
92,3,"321",60,-75
93,2,"321",120,0
94,4,"321",65,0
95,4,"321",55,-300
96,2,"321",110,0
97,2,"321",130,0
98,1,"321",110,0
99,3,"321",70,0
100,4,"321",60,0
1,3,"322",50,0
2,4,"322",50,0
3,2,"322",100,0
4,1,"322",100,0
5,3,"322",60,0
6,2,"322",80,0
7,1,"322",120,0
8,1,"322",80,-150
9,3,"322",40,-50
10,2,"322",110,0
11,2,"322",120,0
12,2,"322",90,0
13,2,"322",100,0
14,2,"322",90,0
15,2,"322",120,0
16,2,"322",110,-1250
17,2,"322",80,0
18,3,"322",55,0
19,1,"322",90,0
20,1,"322",110,-300
21,4,"322",40,0
22,4,"322",45,0
23,3,"322",55,-50
24,2,"322",110,0
25,1,"322",100,0
26,1,"322",80,-200
27,2,"322",100,0
28,3,"322",45,0
29,2,"322",90,0
30,4,"322",45,0
31,3,"322",50,-50
32,2,"322",130,-1500
33,1,"322",120,0
34,1,"322",110,-250
35,3,"322",45,0
36,4,"322",55,0
37,2,"322",120,0
38,3,"322",60,-50
39,2,"322",130,0
40,4,"322",60,0
41,3,"322",40,-50
42,1,"322",90,-350
43,4,"322",40,0
44,3,"322",55,0
45,2,"322",110,0
46,3,"322",55,-25
47,4,"322",55,0
48,3,"322",65,-75
49,4,"322",50,0
50,3,"322",45,0
51,1,"322",110,0
52,3,"322",70,-25
53,4,"322",60,-250
54,2,"322",90,0
55,3,"322",40,0
56,4,"322",55,0
57,1,"322",130,-350
58,2,"322",100,0
59,3,"322",50,-25
60,4,"322",40,0
61,1,"322",90,0
62,2,"322",120,0
63,4,"322",60,0
64,3,"322",60,-75
65,1,"322",100,-250
66,2,"322",120,-1750
67,4,"322",40,0
68,3,"322",70,0
69,2,"322",110,0
70,4,"322",45,0
71,1,"322",120,-200
72,3,"322",40,-50
73,4,"322",55,0
74,1,"322",110,0
75,2,"322",140,0
76,3,"322",60,0
77,1,"322",90,-300
78,4,"322",65,0
79,3,"322",65,-25
80,2,"322",130,0
81,1,"322",130,-150
82,2,"322",100,0
83,3,"322",55,0
84,4,"322",70,0
85,1,"322",120,-250
86,2,"322",110,0
87,3,"322",80,-50
